APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
3,Alytaus rajono,2,Mikutiškių,770,417,328,2,85,2,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,185,29,214,,,3002,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,2,Mikutiškių,770,417,328,2,85,2,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,143,56,199,,,3002,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,3,Genių,393,215,177,1,36,1,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,95,16,111,,,3003,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,3,Genių,393,215,177,1,36,1,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,82,20,102,,,3003,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,4,Miklusėnų,1319,774,671,8,95,0,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,363,45,408,,,3004,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,4,Miklusėnų,1319,774,671,8,95,0,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,308,50,358,,,3004,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,6,Luksnėnų,1059,504,428,4,70,2,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,262,34,296,,,3006,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,6,Luksnėnų,1059,504,428,4,70,2,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,166,36,202,,,3006,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,8,Geištarų,1112,585,458,5,119,3,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,232,72,304,,,3008,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,8,Geištarų,1112,585,458,5,119,3,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,226,47,273,,,3008,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,9,Miroslavo,1178,650,455,7,187,1,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,277,66,343,,,3009,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,9,Miroslavo,1178,650,455,7,187,1,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,178,121,299,,,3009,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,12,Parėčėnų,480,314,213,3,98,0,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,106,55,161,,,3012,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,12,Parėčėnų,480,314,213,3,98,0,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,107,43,150,,,3012,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,14,Kumečių,381,213,163,9,41,0,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,90,23,113,,,3014,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,14,Kumečių,381,213,163,9,41,0,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,73,18,91,,,3014,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,15,Vankiškių,419,268,211,4,52,1,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,140,25,165,,,3015,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,15,Vankiškių,419,268,211,4,52,1,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,71,27,98,,,3015,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,16,Simno,1168,783,651,12,117,3,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,404,55,459,,,3016,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,16,Simno,1168,783,651,12,117,3,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,247,62,309,,,3016,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,17,Mergalaukio,345,196,158,3,35,0,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,93,22,115,,,3017,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,17,Mergalaukio,345,196,158,3,35,0,ALGIRDAS,VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,65,13,78,,,3017,Alytaus rajono savivaldybė,2023-03-24 16:17
3,Alytaus rajono,18,Kalesninkų,289,165,125,1,39,0,RASA,VITKAUSKIENĖ,Demokratų sąjunga „Vardan Lietuvos“,68,20,88,,,3018,Alytaus rajono savivaldybė,2023-03-24 16:17
