municipality_name,age_gr,sex,pop
Elektrėnų sav.,0–4,Vyras,524
Elektrėnų sav.,0–4,Moteris,514
Elektrėnų sav.,5–9,Vyras,645
Elektrėnų sav.,5–9,Moteris,586
Elektrėnų sav.,10–14,Vyras,631
Elektrėnų sav.,10–14,Moteris,546
Elektrėnų sav.,15–19,Vyras,537
Elektrėnų sav.,15–19,Moteris,496
Elektrėnų sav.,20–24,Vyras,616
Elektrėnų sav.,20–24,Moteris,576
Elektrėnų sav.,25–29,Vyras,700
Elektrėnų sav.,25–29,Moteris,620
Elektrėnų sav.,30–34,Vyras,925
Elektrėnų sav.,30–34,Moteris,778
Elektrėnų sav.,35–39,Vyras,936
Elektrėnų sav.,35–39,Moteris,765
Elektrėnų sav.,40–44,Vyras,816
Elektrėnų sav.,40–44,Moteris,728
Elektrėnų sav.,45–49,Vyras,779
Elektrėnų sav.,45–49,Moteris,777
Elektrėnų sav.,50–54,Vyras,841
Elektrėnų sav.,50–54,Moteris,912
Elektrėnų sav.,55–59,Vyras,906
Elektrėnų sav.,55–59,Moteris,946
Elektrėnų sav.,60–64,Vyras,891
Elektrėnų sav.,60–64,Moteris,1060
Elektrėnų sav.,65–69,Vyras,549
Elektrėnų sav.,65–69,Moteris,762
Elektrėnų sav.,70–74,Vyras,399
Elektrėnų sav.,70–74,Moteris,667
Elektrėnų sav.,75–79,Vyras,325
Elektrėnų sav.,75–79,Moteris,609
Elektrėnų sav.,80–84,Vyras,188
Elektrėnų sav.,80–84,Moteris,473
Elektrėnų sav.,85 ir vyresni,Vyras,118
Elektrėnų sav.,85 ir vyresni,Moteris,380
Šalčininkų r. sav.,0–4,Vyras,638
Šalčininkų r. sav.,0–4,Moteris,603
Šalčininkų r. sav.,5–9,Vyras,838
Šalčininkų r. sav.,5–9,Moteris,762
Šalčininkų r. sav.,10–14,Vyras,882
Šalčininkų r. sav.,10–14,Moteris,816
Šalčininkų r. sav.,15–19,Vyras,803
Šalčininkų r. sav.,15–19,Moteris,816
Šalčininkų r. sav.,20–24,Vyras,877
Šalčininkų r. sav.,20–24,Moteris,818
Šalčininkų r. sav.,25–29,Vyras,936
Šalčininkų r. sav.,25–29,Moteris,861
Šalčininkų r. sav.,30–34,Vyras,1129
Šalčininkų r. sav.,30–34,Moteris,940
Šalčininkų r. sav.,35–39,Vyras,999
Šalčininkų r. sav.,35–39,Moteris,824
Šalčininkų r. sav.,40–44,Vyras,1045
Šalčininkų r. sav.,40–44,Moteris,941
Šalčininkų r. sav.,45–49,Vyras,1112
Šalčininkų r. sav.,45–49,Moteris,1155
Šalčininkų r. sav.,50–54,Vyras,1123
Šalčininkų r. sav.,50–54,Moteris,1230
Šalčininkų r. sav.,55–59,Vyras,1136
Šalčininkų r. sav.,55–59,Moteris,1272
Šalčininkų r. sav.,60–64,Vyras,1092
Šalčininkų r. sav.,60–64,Moteris,1250
Šalčininkų r. sav.,65–69,Vyras,599
Šalčininkų r. sav.,65–69,Moteris,850
Šalčininkų r. sav.,70–74,Vyras,467
Šalčininkų r. sav.,70–74,Moteris,740
Šalčininkų r. sav.,75–79,Vyras,281
Šalčininkų r. sav.,75–79,Moteris,578
Šalčininkų r. sav.,80–84,Vyras,171
Šalčininkų r. sav.,80–84,Moteris,560
Šalčininkų r. sav.,85 ir vyresni,Vyras,111
Šalčininkų r. sav.,85 ir vyresni,Moteris,444
Širvintų r. sav.,0–4,Vyras,321
Širvintų r. sav.,0–4,Moteris,276
Širvintų r. sav.,5–9,Vyras,326
Širvintų r. sav.,5–9,Moteris,357
Širvintų r. sav.,10–14,Vyras,322
Širvintų r. sav.,10–14,Moteris,346
Širvintų r. sav.,15–19,Vyras,342
Širvintų r. sav.,15–19,Moteris,330
Širvintų r. sav.,20–24,Vyras,391
Širvintų r. sav.,20–24,Moteris,356
Širvintų r. sav.,25–29,Vyras,479
Širvintų r. sav.,25–29,Moteris,407
Širvintų r. sav.,30–34,Vyras,532
Širvintų r. sav.,30–34,Moteris,490
Širvintų r. sav.,35–39,Vyras,489
Širvintų r. sav.,35–39,Moteris,442
Širvintų r. sav.,40–44,Vyras,439
Širvintų r. sav.,40–44,Moteris,439
Širvintų r. sav.,45–49,Vyras,534
Širvintų r. sav.,45–49,Moteris,515
Širvintų r. sav.,50–54,Vyras,635
Širvintų r. sav.,50–54,Moteris,632
Širvintų r. sav.,55–59,Vyras,598
Širvintų r. sav.,55–59,Moteris,651
Širvintų r. sav.,60–64,Vyras,556
Širvintų r. sav.,60–64,Moteris,627
Širvintų r. sav.,65–69,Vyras,381
Širvintų r. sav.,65–69,Moteris,503
Širvintų r. sav.,70–74,Vyras,273
Širvintų r. sav.,70–74,Moteris,448
